request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_ttlb_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
152,small_page.bin,32,QUIC/HTTP3,20539,0.000450,0.000290,0.000010,0.002,9888782,9657.014,9.431
153,small_page.bin,33,QUIC/HTTP3,20539,0.000420,0.000280,0.000010,0.002,10284927,10043.874,9.808
154,small_page.bin,34,QUIC/HTTP3,20539,0.000440,0.000290,0.000010,0.002,10068137,9832.165,9.602
155,small_page.bin,35,QUIC/HTTP3,20539,0.000470,0.000320,0.000010,0.002,9893545,9661.665,9.435
156,small_page.bin,36,QUIC/HTTP3,20539,0.000450,0.000290,0.000010,0.002,9860298,9629.197,9.404
157,small_page.bin,37,QUIC/HTTP3,20539,0.000420,0.000260,0.000010,0.002,10102804,9866.020,9.635
158,small_page.bin,38,QUIC/HTTP3,20539,0.000420,0.000320,0.000010,0.002,10033708,9798.543,9.569
159,small_page.bin,39,QUIC/HTTP3,20539,0.000410,0.000240,0.000010,0.002,10603511,10354.991,10.112
160,small_page.bin,40,QUIC/HTTP3,20539,0.000430,0.000260,0.000010,0.002,10254119,10013.788,9.779
161,medium_page.bin,1,QUIC/HTTP3,204859,0.000480,0.000900,0.000900,0.004,56731930,55402.275,54.104
162,medium_page.bin,2,QUIC/HTTP3,204859,0.000450,0.000250,0.000730,0.003,75649557,73876.521,72.145
163,medium_page.bin,3,QUIC/HTTP3,204859,0.000450,0.000270,0.000710,0.003,74957556,73200.738,71.485
164,medium_page.bin,4,QUIC/HTTP3,204859,0.000440,0.000350,0.000640,0.003,74332003,72589.847,70.889
165,medium_page.bin,5,QUIC/HTTP3,204859,0.000470,0.000280,0.000750,0.003,73163929,71449.149,69.775
166,medium_page.bin,6,QUIC/HTTP3,204859,0.000440,0.000250,0.000770,0.003,72877624,71169.555,69.502
167,medium_page.bin,7,QUIC/HTTP3,204859,0.000430,0.000260,0.000740,0.003,74711524,72960.473,71.250
168,medium_page.bin,8,QUIC/HTTP3,204859,0.000430,0.000410,0.000670,0.003,73007484,71296.371,69.625
169,medium_page.bin,9,QUIC/HTTP3,204859,0.000440,0.000270,0.000710,0.003,75454512,73686.047,71.959
170,medium_page.bin,10,QUIC/HTTP3,204859,0.000450,0.000260,0.000760,0.003,73637311,71911.437,70.226
171,medium_page.bin,11,QUIC/HTTP3,204859,0.000450,0.000400,0.000690,0.003,71205770,69536.885,67.907
172,medium_page.bin,12,QUIC/HTTP3,204859,0.000430,0.000360,0.000660,0.003,74793355,73040.386,71.329
173,medium_page.bin,13,QUIC/HTTP3,204859,0.000450,0.000270,0.000760,0.003,73716805,71989.067,70.302
174,medium_page.bin,14,QUIC/HTTP3,204859,0.000470,0.000430,0.000770,0.003,68263579,66663.651,65.101
175,medium_page.bin,15,QUIC/HTTP3,204859,0.000440,0.000350,0.000700,0.003,73452492,71730.949,70.050
176,medium_page.bin,16,QUIC/HTTP3,204859,0.000430,0.000390,0.000660,0.003,72670805,70967.583,69.304
177,medium_page.bin,17,QUIC/HTTP3,204859,0.000440,0.000270,0.000730,0.003,74930139,73173.964,71.459
178,medium_page.bin,18,QUIC/HTTP3,204859,0.000470,0.000350,0.000650,0.003,74413004,72668.949,70.966
179,medium_page.bin,19,QUIC/HTTP3,204859,0.000450,0.000260,0.000710,0.003,74251178,72510.916,70.811
180,medium_page.bin,20,QUIC/HTTP3,204859,0.000420,0.000330,0.000610,0.003,75761464,73985.805,72.252
181,medium_page.bin,21,QUIC/HTTP3,204859,0.000410,0.000330,0.000650,0.003,76297579,74509.354,72.763
182,medium_page.bin,22,QUIC/HTTP3,204859,0.000410,0.000310,0.000600,0.003,77982109,76154.403,74.370
183,medium_page.bin,23,QUIC/HTTP3,204859,0.000440,0.000320,0.000510,0.003,80305370,78423.213,76.585
184,medium_page.bin,24,QUIC/HTTP3,204859,0.000440,0.000340,0.000690,0.003,73929628,72196.902,70.505
185,medium_page.bin,25,QUIC/HTTP3,204859,0.000420,0.000310,0.000600,0.003,76927901,75124.903,73.364
186,medium_page.bin,26,QUIC/HTTP3,204859,0.000420,0.000320,0.000600,0.003,77745351,75923.194,74.144
187,medium_page.bin,27,QUIC/HTTP3,204859,0.000430,0.000320,0.000600,0.003,77392898,75579.002,73.808
188,medium_page.bin,28,QUIC/HTTP3,204859,0.000460,0.000340,0.000580,0.003,75649557,73876.521,72.145
189,medium_page.bin,29,QUIC/HTTP3,204859,0.000410,0.000330,0.000610,0.003,77539364,75722.035,73.947
190,medium_page.bin,30,QUIC/HTTP3,204859,0.000460,0.000380,0.000690,0.003,71629021,69950.216,68.311
191,medium_page.bin,31,QUIC/HTTP3,204859,0.000410,0.000320,0.000610,0.003,77804406,75980.865,74.200
192,medium_page.bin,32,QUIC/HTTP3,204859,0.000460,0.000400,0.000770,0.003,70253429,68606.864,66.999
